,brand,resolution,inches,panel,Tv_os,original_price,price,discount,Rating_count
365,LG,Ultra HD,55,OLED,WebOS,"2,34,900","1,79,626",23,35739
366,Samsung,Ultra HD,40,LED,WebOS,30400,13403,55,5
367,Samtonic,Ultra HD,32,OLED,Tizen,27000,19490,27,100
368,BPL,Full HD,32,LED,,25490,15279,40,28
369,Lloyd,HD Ready,43,LED,,23999,13799,42,4
370,Blaupunkt,HD Ready,50,LED,WebOS,45990,18999,58,16881
371,TCL,HD Ready,32,LED,,51990,27990,46,17
372,Sansui,Full HD,55,LED,,17999,14999,16,2864
373,Infinix,Ultra HD,43,LED,Google,49999,31999,36,14831
374,Thomson,HD Ready,50,LED,,54900,40660,25,62
375,SONY,Ultra HD,32,QLED,Google,64990,26799,58,96
376,acerpure,Ultra HD,32,LED,Google,18999,12993,31,1609
377,STARSHINE,Ultra HD,55,QLED,Google,26990,12850,52,3
378,Haier,HD Ready,75,LED,Google,86100,61688,28,13
379,Samsung,HD Ready,75,LED,,"2,79,990",99490,64,3
380,TCL,Ultra HD,43,QLED,Tizen,"5,43,800","1,89,999",65,313
381,Samsung,Ultra HD,65,LED,Google,35999,17200,52,7
382,Compaq,Ultra HD,43,QLED,Tizen,"2,29,990",89990,60,4479
383,TCL,Ultra HD,55,LED,,61490,31990,47,14
384,Haier,Ultra HD,55,QLED,Google,79990,33099,58,7
385,acerpure,Ultra HD,43,QLED,Google,63500,41200,35,1609
386,Samsung,Ultra HD,55,QLED,Google,36999,12399,66,5
387,HUIDI,Ultra HD,55,LED,Tizen,79990,33199,58,3947
388,Coocaa,Full HD,43,LED,,67200,41950,37,718
389,Samsung,Ultra HD,50,QLED,Google,45000,33599,25,7
390,Samsung,Ultra HD,50,LED,Tizen,54200,43299,20,7
391,Samsung,Ultra HD,65,LED,Tizen,61990,47990,22,5
392,Samsung,Ultra HD,100,LED,Tizen,"1,39,999",73999,47,24665
393,Hisense,4K,65,LED,Tizen,"3,09,990","1,99,999",35,295
394,acerpure,Ultra HD,40,LED,,"2,29,000","1,44,990",36,1203
395,SONY,Ultra HD,65,QLED,Google,36990,11790,68,4
396,Uniboom,Ultra HD,55,LED,,"1,69,103","1,19,898",29,4510
397,LG,Full HD,43,LED,,76900,48990,36,6119
398,LG,Ultra HD,32,LED,WebOS,46999,23517,49,18302
399,Acer,Ultra HD,40,LED,WebOS,27990,11890,57,5573
400,Haier,Ultra HD,50,LED,Google,19999,13499,32,28
401,Blaupunkt,HD Ready,40,LED,,67999,24999,63,168
402,Acer,Full HD,55,QLED,,26699,16999,36,2524
403,MOTOROLA,Ultra HD,55,QLED,Google,59990,58990,1,9498
404,Weston,Full HD,65,LED,Google,89400,52990,40,22
405,Samsung,Ultra HD,43,LED,,"1,49,900",73699,50,7
406,TCL,Ultra HD,32,LED,Tizen,42999,26750,37,4
407,XIAOMI,Ultra HD,55,LED,,89990,51990,42,83331
408,realme,Ultra HD,32,LED,,25990,13790,46,"2,19,555"
409,LG,HD Ready,50,LED,,53990,26399,51,3171
410,BPL,Ultra HD,55,LED,WebOS,"1,29,990",94147,27,4
411,Coocaa,HD Ready,40,LED,Google,29523,28523,3,469
412,SONY,Ultra HD,65,LED,,"1,09,990",49999,54,9
413,Sansui,Ultra HD,55,LED,,79990,38700,51,1055
414,Hisense,Full HD,55,LED,,54999,38067,30,1369
415,Hisense,Ultra HD,55,QLED,,59999,37999,36,1369
416,Mi,Ultra HD,65,QLED,,"3,49,990","1,99,990",42,10440
417,Infinix,Ultra HD,55,LED,,"1,32,600",89999,32,2689
418,Samsung,Ultra HD,55,QLED,WebOS,59999,31339,47,3
